Suburb,State,PostCode
SPRINGVALE,VIC,3171
APPLE TREE FLAT,NSW,2850
ABBA RIVER,WA,6280
ABBEYARD,VIC,3737
ABBEYWOOD,QLD,4613
ABBOTSBURY,NSW,2176
ABBOTSFORD,NSW,2046
ABBOTSFORD,VIC,3067
ABBOTSFORD,QLD,4670
ABBOTSHAM,TAS,7315
ABECKETT STREET,VIC,8006
ABELS BAY,TAS,7112
ABERCORN,QLD,4627
ABERCROMBIE,NSW,2795
ABERDARE,NSW,2325
ABERDEEN,NSW,2336
ABERDEEN,TAS,7310
ABERFELDIE,VIC,3040
ABERFELDY,VIC,3825
ABERFOYLE,NSW,2350
ABERFOYLE PARK,SA,5159
ABERGLASSLYN,NSW,2320
ABERGOWRIE,QLD,4850
ABERMAIN,NSW,2326
ABINGDON DOWNS,QLD,4892
ABINGTON,QLD,4660
ACACIA GARDENS,NSW,2763
ACACIA HILLS,NT,822
ACACIA HILLS,TAS,7306
ACACIA RIDGE,QLD,4110
ACHERON,VIC,3714
ACLAND,QLD,4401
ACTON,ACT,2601
ACTON,TAS,7320
ACTON PARK,TAS,7170
ADA,VIC,3833
ADAMINABY,NSW,2629
ADAMS ESTATE,VIC,3984
ADAMSTOWN,NSW,2289
ADAMSVALE,WA,6375
ADARE,QLD,4343
ADAVALE,QLD,4474
ADDINGTON,VIC,3352
ADELAIDE,SA,5000
ADELAIDE,SA,5001
ADELAIDE AIRPORT,SA,5950
ADELAIDE LEAD,VIC,3465
ADELAIDE PARK,QLD,4703
ADELAIDE RIVER,NT,846
ADELONG,NSW,2729
ADJUNGBILLY,NSW,2727
ADVANCETOWN,QLD,4211
ADVENTURE BAY,TAS,7150
AEROGLEN,QLD,4870
AGERY,SA,5558
AGNES,VIC,3962
AGNES BANKS,NSW,2753
AGNES WATER,QLD,4677
AINSLIE,ACT,2602
AINTREE,VIC,3336
AIRDMILLAN,QLD,4807
AIRDS,NSW,2560
AIRE VALLEY,VIC,3237
AIREYS INLET,VIC,3231
AIRLIE BEACH,QLD,4802
AIRLY,VIC,3851
AIRPORT WEST,VIC,3042
AITKENVALE,QLD,4814
AJANA,WA,6532
AKAROA,TAS,7216
AKOLELE,NSW,2546
ALABAMA HILL,QLD,4820
ALAWA,NT,810
ALAWOONA,SA,5311
ALBACUTYA,VIC,3424
ALBANVALE,VIC,3021
ALBANY,WA,6330
ALBANY CREEK,QLD,4035
ALBANY DC,WA,6331
ALBANY PO,WA,6332
ALBERT,NSW,2873
ALBERTA,QLD,4702
ALBERTON,VIC,3971
ALBERTON,QLD,4207
ALBERTON,SA,5014
ALBERTON,TAS,7263
ALBERT PARK,VIC,3206
ALBINIA,QLD,4722
ALBION,VIC,3020
ALBION,QLD,4010
ALBION,QLD,4822
ALBION PARK,NSW,2527
ALBURY,NSW,2640
ALCOMIE,TAS,7330
ALDAVILLA,NSW,2440
ALDERLEY,QLD,4051
ALDERSHOT,QLD,4650
ALDERSYDE,WA,6306
ALDGATE,SA,5154
ALDINGA,SA,5173
ALDOGA,QLD,4694
ALECTOWN,NSW,2870
ALEXANDER HEIGHTS,WA,6064
ALEXANDRA,QLD,4740
ALEXANDRA BRIDGE,WA,6288
ALEXANDRA HEADLAND,QLD,4572
ALEXANDRA HILLS,QLD,4161
ALEXANDRIA,NSW,1435
ALEXANDRIA,NSW,2015
ALFORD,SA,5555
ALFORDS POINT,NSW,2234
ALFRED COVE,WA,6154
ALFREDTON,VIC,3350
ALFREDTOWN,NSW,2650
ALGESTER,QLD,4115
ALICE,NSW,2469
ALICE CREEK,QLD,4610
ALICE RIVER,QLD,4817
ALICE SPRINGS,NT,870
ALICE SPRINGS,NT,871
ALICE SPRINGS,NT,872
ALISON,NSW,2259
ALISON,NSW,2420
ALKIMOS,WA,6038
ALLAMBEE,VIC,3823
ALLAMBEE RESERVE,VIC,3871
ALLAMBIE HEIGHTS,NSW,2100
ALLAN,QLD,4370
ALLANDALE,QLD,4310
ALLANOOKA,WA,6525
ALLANS FLAT,VIC,3691
ALLANSFORD,VIC,3277
ALLANSON,WA,6225
ALLAWAH,NSW,2218
ALLEENA,NSW,2671
ALLENBY GARDENS,SA,5009
ALLENDALE,VIC,3364
ALLENDALE EAST,SA,5291
ALLENDALE NORTH,SA,5373
ALLENSTOWN,QLD,4700
ALLENVIEW,QLD,4285
ALLESTREE,VIC,3305
ALLGOMERA,NSW,2441
ALLIGATOR CREEK,QLD,4816
ALLORA,QLD,4362
ALLWORTH,NSW,2425
ALLYNBROOK,NSW,2311
ALMA,SA,5401
ALMA,WA,6535
ALMADEN,QLD,4871
ALMA PARK,NSW,2659
ALMONDS,VIC,3727
ALMURTA,VIC,3979
ALPHA,QLD,4724
ALPHINGTON,VIC,3078
ALPINE,NSW,2575
ALPURRURULAM,NT,4825
ALSTONVALE,NSW,2477
AL TONA,VIC,3018
AL TONA,SA,5351
AL TONA EAST,VIC,3025
AL TONA MEADOWS,VIC,3028
ALUMY CREEK,NSW,2460
ALVIE,VIC,3249
ALYANGULA,NT,885
AMAMOOR,QLD,4570
AMAROO,NSW,2866
AMAROO,ACT,2914
AMAROO,QLD,4829
AMBANIA,WA,6632
AMBERLEY,QLD,4306
AMBROSE,QLD,4695
AMBY,QLD,4462
AMELUP,WA,6338
AMERICAN BEACH,SA,5222
AMERICAN RIVER,SA,5221
AMHERST,VIC,3371
AMIENS,QLD,4380
AMITY,QLD,4183
AMOONGUNA,NT,873
AMPHITHEATRE,VIC,3468
AMYTON,SA,5431
ANABRANCH NORTH,NSW,2648
ANAKIE,VIC,3213
ANAMA,SA,5464
ANCONA,VIC,3715
ANDAMOOKA,SA,5722
ANDERSON,VIC,3995
ANDO,NSW,2631
ANDOVER,TAS,7120
ANDREWS,SA,5454
ANDREWS FARM,SA,5114
ANDROMACHE,QLD,4800
ANDURAMBA,QLD,4355
ANEMBO,NSW,2621
ANGAS PLAINS,SA,5255
ANGASTON,SA,5353
ANGAS VALLEY,SA,5238
ANGELO RIVER,WA,6642
ANGLEDALE,NSW,2550
ANGLEDOOL,NSW,2834
ANGLE PARK,SA,5010
ANGLERS REST,VIC,3898
ANGLESEA,VIC,3230
ANGLE VALE,SA,5117
ANGOURIE,NSW,2464
ANGUS,NSW,2765
ANKETELL,WA,6167
ANNA BAY,NSW,2316
ANNADALE,SA,5356
ANNANDALE,NSW,2038
ANNANGROVE,NSW,2156
ANNERLEY,QLD,4103
ANNUELLO,VIC,3549
ANSONS BAY,TAS,7264
ANSTEAD,QLD,4070
ANTONYMYRE,WA,6714
ANTWERP,VIC,3414
ANULA,NT,812
APAMURRA,SA,5237
APOINGA,SA,5413
APOLLO BAY,VIC,3233
APPILA,SA,5480
APPIN,VIC,3579
APPLEBY,NSW,2340
APPLECROSS,WA,6153
APPLECROSS,WA,6953
APPLETHORPE,QLD,4378
APPLETREE FLAT,NSW,2330
APSLAWN,TAS,7190
BARKER CREEK FLA T,QLD,4615
APSLEY,NSW,2820
APSLEY,VIC,3319
APSLEY,TAS,7030
ARABLE,NSW,2630
ARAKOON,NSW,2431
ARALUEN,NSW,2622
ARAMAC,QLD,4726
ARAMARA,QLD,4620
ARANA HILLS,QLD,4054
ARANBANGA,QLD,4625
ARANDA,ACT,2614
ARAPILES,VIC,3409
ARARAT,VIC,3377
ARATULA,NSW,2714
ARATULA,QLD,4309
ARAWATA,VIC,3951
ARBUCKLE,VIC,3858
ARCADIA,NSW,2159
ARCADIA,VIC,3631
ARCADIA,QLD,4819
ARCADIA VALE,NSW,2283
ARCADIA VALLEY,QLD,4454
ARCHDALE,VIC,3475
ARCHER,NT,830
ARCHERFIELD,QLD,4108
ARCHERTON,VIC,3723
ARDATH,WA,6419
ARDEER,VIC,3022
ARDGLEN,NSW,2338
ARDING,NSW,2358
ARDLETHAN,NSW,2665
ARDMONA,VIC,3629
ARDROSSAN,SA,5571
AREEGRA,VIC,3480
ARGALONG,NSW,2720
ARGENTON,NSW,2284
ARGENTS HILL,NSW,2449
ARGOON,NSW,2707
ARGYLE,VIC,3523
ARGYLE,WA,6239
ARGYLL,QLD,4721
ARKAROOLA VILLAGE,SA,5701
ARMADALE,VIC,3143
ARMADALE,WA,6112
ARMADALE,WA,6992
ARMAGH,SA,5453
ARMATREE,NSW,2828
ARMSTRONG BEACH,QLD,4737
ARMSTRONG CREEK,VIC,3217
ARMSTRONG CREEK,QLD,4520
ARNCLIFFE,NSW,2205
ARNDELL PARK,NSW,2148
ARNO BAY,SA,5603
ARNOLD,NT,852
ARNOLD,VIC,3551
AROONA,QLD,4551
